# ------------ RIGA 1 -----------------------------
^,v,7,2529
# ------------ RIGA 3 -----------------------------
^,v,8,5517
^,v,10,6666
# ------------ RIGA 5 -----------------------------
^,v,11,-83
# ------------ RIGA 7 -----------------------------
^,v,12,-67
^,v,13,5
# ------------ RIGA 9 -----------------------------
# Bar
#^,B,17,-3,2,9
^,v,17,1
# ------------ RIGA 11 -----------------------------
#Second big row
^,v,14,-73
# ------------ RIGA 13 -----------------------------
#Second small row before bar
^,v,15,-82
^,v,16,1
# ------------ RIGA 15 -----------------------------
# Bar
#^,B,18,-2,1,15
^,v,18,-1
